               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10473,            0.059843,            0.053423,             0.21781,             0.12399,            0.053863,            0.012767,             0.07864,            0.044652,             0.05122,             0.00151,             0.00151,             0.08641
                   1,            0.072313,            0.046555,            0.049253,             0.28533,             0.42306,             0.29625,             0.11284,            0.050356,            0.036651,            0.046946,           0.0030132,           0.0030132,            0.072713
                   2,            0.064517,            0.042159,            0.043819,             0.32813,             0.58384,             0.36255,             0.10335,             0.05202,            0.032486,            0.038139,           0.0044498,           0.0044498,             0.05895
                   3,            0.062595,            0.039951,            0.033335,             0.38497,             0.74939,             0.55332,             0.19194,            0.053259,            0.029699,            0.024911,           0.0057723,           0.0057723,            0.045072
                   4,            0.061536,            0.038092,            0.021753,              0.5996,             0.82188,             0.74433,             0.26695,            0.060601,            0.029562,            0.013521,           0.0069377,           0.0069377,            0.031038
                   5,            0.059675,            0.036333,            0.014354,             0.52169,             0.65434,             0.59994,             0.16563,            0.058176,            0.030394,            0.011473,           0.0079093,           0.0079093,            0.016809
                   6,            0.056393,            0.035782,            0.011886,             0.73123,             0.83914,             0.83749,             0.44885,            0.040618,            0.029813,           0.0085535,            0.008145,            0.008145,            0.008145
                   7,            0.050286,            0.035951,           0.0093123,             0.92433,             0.86836,             0.93496,             0.42831,            0.040699,            0.029246,           0.0069587,            0.008145,            0.008145,            0.008145
                   8,            0.046052,            0.034097,           0.0076672,             0.94934,             0.91368,             0.95825,             0.46396,            0.033385,            0.027888,           0.0059296,            0.007543,            0.007543,            0.007543
                   9,            0.039676,            0.033024,           0.0066078,             0.90845,              0.8864,             0.91372,             0.31392,            0.047071,            0.028626,           0.0046931,           0.0068906,           0.0068906,           0.0068906
                  10,            0.038618,            0.032788,           0.0061972,             0.94824,             0.92571,             0.95669,             0.45358,            0.030498,            0.028005,           0.0043372,            0.006204,            0.006204,            0.006204
                  11,            0.034813,            0.031032,            0.005664,             0.93832,             0.88118,             0.91257,              0.3031,            0.046235,            0.030635,           0.0047149,              0.0055,              0.0055,              0.0055
                  12,            0.032416,            0.030328,           0.0052016,             0.97283,             0.93811,             0.97121,             0.48151,            0.034003,            0.024826,           0.0042349,            0.004796,            0.004796,            0.004796
                  13,            0.029431,            0.029378,           0.0045846,             0.97474,             0.93918,             0.96736,             0.50427,             0.03051,            0.025752,           0.0039603,           0.0041094,           0.0041094,           0.0041094
                  14,            0.029132,            0.028124,           0.0041974,             0.95529,             0.92506,             0.94606,             0.37387,            0.040211,            0.030307,           0.0041094,            0.003457,            0.003457,            0.003457
                  15,            0.025462,            0.027895,           0.0039899,              0.9673,             0.93099,             0.96042,              0.4226,            0.037721,            0.028032,            0.003707,            0.002855,            0.002855,            0.002855
                  16,            0.024638,            0.026513,           0.0037108,             0.96823,             0.94514,             0.97211,             0.54148,            0.030182,             0.02554,           0.0032007,            0.002318,            0.002318,            0.002318
                  17,            0.023891,             0.02691,           0.0035493,             0.96617,             0.92745,             0.95844,             0.40064,            0.039798,            0.028826,           0.0034327,           0.0018594,           0.0018594,           0.0018594
                  18,            0.022573,            0.026036,           0.0034362,             0.97777,             0.92275,             0.95704,             0.45415,            0.037743,            0.027836,           0.0033501,           0.0014905,           0.0014905,           0.0014905
                  19,            0.021608,            0.025304,           0.0030408,             0.97962,             0.93231,             0.96523,             0.45771,            0.036005,            0.027644,           0.0030737,           0.0012202,           0.0012202,           0.0012202
